key,mol_id,en_id
CHEMBL1051::en2_A12:R;A13:R;A16:S;A26:R;A29:S,CHEMBL1051,2
CHEMBL1051::en3_A12:S;A13:R;A16:S;A26:R;A29:S,CHEMBL1051,3
CHEMBL1051::en4_A12:R;A13:S;A16:R;A26:R;A29:S,CHEMBL1051,4
CHEMBL105318::en0_A4:S;A6:S;A8:S,CHEMBL105318,0
CHEMBL105318::en1_A4:R;A6:S;A8:S,CHEMBL105318,1
CHEMBL105318::en2_A4:S;A6:R;A8:S,CHEMBL105318,2
CHEMBL105318::en3_A4:R;A6:R;A8:S,CHEMBL105318,3
CHEMBL105318::en4_A4:S;A6:S;A8:R,CHEMBL105318,4
CHEMBL1062::en0_A3:S;A7:R;A8:R;A17:R;A19:R;A22:S,CHEMBL1062,0
CHEMBL1062::en1_A3:R;A7:R;A8:R;A17:R;A19:R;A22:S,CHEMBL1062,1
CHEMBL1062::en2_A3:S;A7:S;A8:R;A17:R;A19:R;A22:S,CHEMBL1062,2
CHEMBL1062::en3_A3:R;A7:S;A8:R;A17:R;A19:R;A22:S,CHEMBL1062,3
CHEMBL1062::en4_A3:S;A7:R;A8:S;A17:R;A19:R;A22:S,CHEMBL1062,4
CHEMBL1064::en0_A8:R;A10:S;A16:S;A18:S;A21:R;A23:S;A29:S,CHEMBL1064,0
CHEMBL1064::en1_A8:S;A10:S;A16:S;A18:S;A21:R;A23:S;A29:S,CHEMBL1064,1
CHEMBL1064::en2_A8:R;A10:R;A16:S;A18:S;A21:R;A23:S;A29:S,CHEMBL1064,2
CHEMBL1064::en3_A8:S;A10:R;A16:S;A18:S;A21:R;A23:S;A29:S,CHEMBL1064,3
CHEMBL1064::en4_A8:R;A10:S;A16:R;A18:S;A21:R;A23:S;A29:S,CHEMBL1064,4
CHEMBL1069::en0_A25:S,CHEMBL1069,0
CHEMBL1069::en1_A25:R,CHEMBL1069,1
CHEMBL107367::en0_A20:S,CHEMBL107367,0
CHEMBL107367::en1_A20:R,CHEMBL107367,1
CHEMBL1075790::en0_A2:S;A3:S;A5:R;A7:S;A10:S;A13:R;A16:S;A17:S;A20:S;A22:R;A31:S;A35:R;A37:S,CHEMBL1075790,0
CHEMBL1075790::en1_A2:S;A3:R;A5:S;A7:S;A10:R;A13:S;A16:S;A17:S;A20:R;A22:R;A31:R;A35:R;A37:R,CHEMBL1075790,1
CHEMBL1075790::en2_A2:R;A3:R;A5:S;A7:S;A10:R;A13:S;A16:R;A17:S;A20:S;A22:R;A31:S;A35:S;A37:R,CHEMBL1075790,2
CHEMBL1075790::en3_A2:S;A3:R;A5:S;A7:S;A10:S;A13:S;A16:S;A17:R;A20:S;A22:R;A31:R;A35:S;A37:S,CHEMBL1075790,3
CHEMBL1075790::en4_A2:R;A3:R;A5:R;A7:R;A10:R;A13:S;A16:R;A17:S;A20:R;A22:S;A31:R;A35:S;A37:R,CHEMBL1075790,4
CHEMBL1076263::en0_A19:R;A20:S;A23:R;A25:S,CHEMBL1076263,0
CHEMBL1076263::en1_A19:S;A20:S;A23:R;A25:S,CHEMBL1076263,1
CHEMBL1076263::en2_A19:R;A20:R;A23:S;A25:S,CHEMBL1076263,2
CHEMBL1076903::en0_A10:S;A14:R,CHEMBL1076903,0
CHEMBL107747::en0_A6:S;A10:R,CHEMBL107747,0
CHEMBL107747::en1_A6:R;A10:R,CHEMBL107747,1
CHEMBL107747::en2_A6:S;A10:S,CHEMBL107747,2
CHEMBL107747::en3_A6:R;A10:S,CHEMBL107747,3
CHEMBL1079446::en0_A1:R;A4:S;A10:R;A11:S;A14:R;A16:R;A19:S,CHEMBL1079446,0
CHEMBL1079446::en1_A1:S;A4:S;A10:R;A11:S;A14:R;A16:R;A19:S,CHEMBL1079446,1
CHEMBL1079446::en2_A1:R;A4:R;A10:R;A11:S;A14:R;A16:R;A19:S,CHEMBL1079446,2
CHEMBL1079446::en3_A1:S;A4:R;A10:R;A11:S;A14:R;A16:R;A19:S,CHEMBL1079446,3
CHEMBL1079446::en4_A1:R;A4:S;A10:S;A11:S;A14:R;A16:R;A19:S,CHEMBL1079446,4
CHEMBL1079593::en0_A20:R,CHEMBL1079593,0
CHEMBL1079593::en1_A20:S,CHEMBL1079593,1
CHEMBL1080884::en0_A7:S,CHEMBL1080884,0
CHEMBL1080884::en1_A7:R,CHEMBL1080884,1
CHEMBL1082::en0_A4:R;A5:R;A9:R;A21:R,CHEMBL1082,0
CHEMBL1082::en1_A4:S;A5:R;A9:R;A21:R,CHEMBL1082,1
CHEMBL1082::en2_A4:R;A5:S;A9:R;A21:R,CHEMBL1082,2
CHEMBL1082::en3_A4:S;A5:S;A9:R;A21:R,CHEMBL1082,3
CHEMBL1082::en4_A4:R;A5:R;A9:S;A21:R,CHEMBL1082,4
CHEMBL1082462::en0_A17:R;A20:R,CHEMBL1082462,0
CHEMBL1082462::en1_A17:S;A20:R,CHEMBL1082462,1
CHEMBL1082462::en2_A17:R;A20:S,CHEMBL1082462,2
CHEMBL1082462::en3_A17:S;A20:S,CHEMBL1082462,3
CHEMBL1082508::en0_A5:R,CHEMBL1082508,0
CHEMBL1082508::en1_A5:S,CHEMBL1082508,1
CHEMBL108358::en0_A7:R;A9:R;A12:R;A14:S,CHEMBL108358,0
CHEMBL108358::en1_A7:S;A9:R;A12:R;A14:S,CHEMBL108358,1
CHEMBL108358::en2_A7:R;A9:S;A12:R;A14:S,CHEMBL108358,2
CHEMBL108358::en3_A7:S;A9:S;A12:R;A14:S,CHEMBL108358,3
CHEMBL108358::en4_A7:R;A9:R;A12:S;A14:S,CHEMBL108358,4
CHEMBL1083659::en0_A29:S,CHEMBL1083659,0
CHEMBL1083659::en1_A29:R,CHEMBL1083659,1
CHEMBL1084173::en0_A5:R;A7:R;A8:S;A11:S;A16:R;A22:S;A26:R;A28:S;A31:R,CHEMBL1084173,0
CHEMBL1084173::en1_A14:S;A15:S;A16:S;A22:R;A26:R,CHEMBL1084173,1
CHEMBL1084173::en2_A1:S;A11:R;A12:R;A13:R;A14:R;A22:S;A26:R;A27:S;A28:S;A45:S,CHEMBL1084173,2
CHEMBL1084173::en3_A8:R;A9:R;A12:S;A13:R;A14:S;A21:S;A22:R;A24:R;A45:R,CHEMBL1084173,3
CHEMBL1086863::en0_A2:S;A4:S;A6:R;A8:R;A10:S,CHEMBL1086863,0
CHEMBL1086863::en1_A2:R;A4:S;A6:R;A8:R;A10:S,CHEMBL1086863,1
CHEMBL1086863::en2_A2:S;A4:R;A6:R;A8:R;A10:S,CHEMBL1086863,2
CHEMBL1086863::en3_A2:R;A4:R;A6:R;A8:R;A10:S,CHEMBL1086863,3
CHEMBL1086863::en4_A2:S;A4:S;A6:S;A8:R;A10:S,CHEMBL1086863,4
CHEMBL1086997::en0_A6:S;A8:S;A10:R;A12:S,CHEMBL1086997,0
CHEMBL1086997::en1_A6:R;A8:S;A10:R;A12:S,CHEMBL1086997,1
CHEMBL1086997::en2_A6:S;A8:R;A10:R;A12:S,CHEMBL1086997,2
CHEMBL1086997::en3_A6:R;A8:R;A10:R;A12:S,CHEMBL1086997,3
CHEMBL1086997::en4_A6:S;A8:S;A10:S;A12:S,CHEMBL1086997,4
CHEMBL108821::en0_A1:S;A17:R;A19:S,CHEMBL108821,0
CHEMBL108821::en1_A1:R;A17:R;A19:S,CHEMBL108821,1
CHEMBL108821::en2_A1:S;A17:S;A19:S,CHEMBL108821,2
CHEMBL108821::en3_A1:R;A17:S;A19:S,CHEMBL108821,3
CHEMBL108821::en4_A1:S;A17:R;A19:R,CHEMBL108821,4
CHEMBL1089962::en0_A6:S;A8:R;A16:R;A18:S,CHEMBL1089962,0
CHEMBL1089962::en1_A6:R;A8:R;A16:R;A18:S,CHEMBL1089962,1
CHEMBL1089962::en2_A6:S;A8:S;A16:R;A18:S,CHEMBL1089962,2
CHEMBL1089962::en3_A6:R;A8:S;A16:R;A18:S,CHEMBL1089962,3
CHEMBL1089962::en4_A6:S;A8:R;A16:S;A18:S,CHEMBL1089962,4
CHEMBL1090::en0_A10:R;A12:R;A15:R;A17:S,CHEMBL1090,0
CHEMBL1090::en1_A10:S;A12:R;A15:R;A17:S,CHEMBL1090,1
CHEMBL1090::en2_A10:R;A12:S;A15:R;A17:S,CHEMBL1090,2
CHEMBL1090::en3_A10:S;A12:S;A15:R;A17:S,CHEMBL1090,3
CHEMBL1090::en4_A10:R;A12:R;A15:S;A17:S,CHEMBL1090,4
CHEMBL1090488::en0_A1:R;A6:S;A14:S;A24:S;A26:S,CHEMBL1090488,0
CHEMBL1090488::en1_A1:S;A6:S;A14:S;A24:S,CHEMBL1090488,1
CHEMBL1090488::en2_A1:R;A6:R;A14:S;A24:S;A26:R,CHEMBL1090488,2
CHEMBL1090488::en3_A1:S;A6:R;A14:S;A24:S,CHEMBL1090488,3
CHEMBL1090488::en4_A1:R;A6:S;A14:R;A24:S;A26:S,CHEMBL1090488,4
CHEMBL1090771::en0_A3:S,CHEMBL1090771,0
CHEMBL1090771::en1_A3:R,CHEMBL1090771,1
CHEMBL1091::en0_A7:S;A11:R;A12:S;A21:R;A23:R;A24:R;A27:S,CHEMBL1091,0
CHEMBL1091::en1_A7:R;A11:R;A12:S;A21:R;A23:R;A24:R;A27:S,CHEMBL1091,1
CHEMBL1091::en2_A7:S;A11:S;A12:S;A21:R;A23:R;A24:R;A27:S,CHEMBL1091,2
CHEMBL1091::en3_A7:R;A11:S;A12:S;A21:R;A23:R;A24:R;A27:S,CHEMBL1091,3
CHEMBL1091::en4_A7:S;A11:R;A12:R;A21:R;A23:R;A24:R;A27:S,CHEMBL1091,4
CHEMBL1091024::en0_A5:R;A10:R;A17:R;A22:S;A25:S;A29:R;A31:S;A33:S;A35:R;A37:S;A39:S;A45:S;A51:R;A54:R;A58:R;A60:S,CHEMBL1091024,0
CHEMBL1091024::en1_A5:S;A10:R;A17:R;A22:S;A25:S;A29:S;A31:R;A33:R;A35:S;A37:S;A39:R;A45:R;A51:S;A54:R;A58:S;A60:S,CHEMBL1091024,1
CHEMBL1091024::en2_A5:R;A10:S;A17:R;A22:R;A25:R;A29:R;A31:R;A33:S;A35:R;A37:S;A39:R;A45:R;A51:R;A54:S;A58:R;A60:S,CHEMBL1091024,2
CHEMBL1091024::en3_A5:R;A10:R;A17:S;A22:S;A25:R;A29:R;A31:R;A33:S;A35:S;A37:R;A39:R;A45:S;A51:R;A54:S;A58:S;A60:R,CHEMBL1091024,3
CHEMBL1091024::en4_A5:S;A10:S;A17:S;A22:R;A25:R;A29:S;A31:S;A33:S;A35:S;A37:S;A39:S;A45:R;A51:S;A54:R;A58:R;A60:R,CHEMBL1091024,4
CHEMBL1091644::en0_A1:R;A4:R,CHEMBL1091644,0
CHEMBL1091644::en1_A1:S;A4:S,CHEMBL1091644,1
CHEMBL1092665::en0_A14:R,CHEMBL1092665,0
CHEMBL1092665::en1_A14:S,CHEMBL1092665,1
CHEMBL1093059::en0_A5:S;A11:R;A13:R;A18:R;A29:R;A32:R;A34:S,CHEMBL1093059,0
CHEMBL1093059::en1_A5:R;A11:R;A13:R;A18:R;A29:R;A32:R;A34:S,CHEMBL1093059,1
CHEMBL1093059::en2_A5:S;A11:S;A13:R;A18:R;A29:R;A32:R;A34:S,CHEMBL1093059,2
CHEMBL1093059::en3_A5:R;A11:S;A13:R;A18:R;A29:R;A32:R;A34:S,CHEMBL1093059,3
CHEMBL1093059::en4_A5:S;A11:R;A13:S;A18:R;A29:R;A32:R;A34:S,CHEMBL1093059,4
CHEMBL1094636::en0_A14:S,CHEMBL1094636,0
CHEMBL1094636::en1_A14:R,CHEMBL1094636,1
CHEMBL1094785::en0_A7:S;A11:R,CHEMBL1094785,0
CHEMBL1094785::en1_A7:R;A11:R,CHEMBL1094785,1
CHEMBL1094785::en2_A7:S;A11:S,CHEMBL1094785,2
CHEMBL1094785::en3_A7:R;A11:S,CHEMBL1094785,3
CHEMBL109480::en0_A7:S;A10:S;A13:R;A15:R;A20:S;A25:R,CHEMBL109480,0
CHEMBL109480::en1_A7:R;A10:S;A13:R;A15:R;A20:S;A25:R,CHEMBL109480,1
CHEMBL109480::en2_A7:S;A10:R;A13:R;A15:R;A20:S;A25:R,CHEMBL109480,2
CHEMBL109480::en3_A7:R;A10:R;A13:R;A15:R;A20:S;A25:R,CHEMBL109480,3
CHEMBL109480::en4_A7:S;A10:S;A13:S;A15:R;A20:S;A25:R,CHEMBL109480,4
CHEMBL1095032::en0_A2:S,CHEMBL1095032,0
CHEMBL1095032::en1_A2:R,CHEMBL1095032,1
CHEMBL1095097::en0_A4:R;A12:S;A14:S;A16:R;A18:R;A20:R;A23:S;A29:R,CHEMBL1095097,0
CHEMBL1095097::en1_A4:S;A12:S;A14:S;A16:R;A18:R;A20:R;A23:S;A29:R,CHEMBL1095097,1
CHEMBL1095097::en2_A4:R;A12:R;A14:S;A16:R;A18:R;A20:R;A23:S;A29:R,CHEMBL1095097,2
CHEMBL1095097::en3_A4:S;A12:R;A14:S;A16:R;A18:R;A20:R;A23:S;A29:R,CHEMBL1095097,3
CHEMBL1095097::en4_A4:R;A12:S;A14:R;A16:R;A18:R;A20:R;A23:S;A29:R,CHEMBL1095097,4
CHEMBL1095283::en0_A4:R;A5:R;A9:R;A28:R,CHEMBL1095283,0
CHEMBL1095283::en1_A4:S;A5:R;A9:R;A28:R,CHEMBL1095283,1
CHEMBL1095283::en2_A4:R;A5:S;A9:R;A28:R,CHEMBL1095283,2
CHEMBL1095283::en3_A4:S;A5:S;A9:R;A28:R,CHEMBL1095283,3
CHEMBL1095283::en4_A4:R;A5:R;A9:S;A28:R,CHEMBL1095283,4
CHEMBL1095284::en0_A1:S;A5:R;A23:R,CHEMBL1095284,0
CHEMBL1095284::en1_A1:R;A5:R;A23:R,CHEMBL1095284,1
CHEMBL1095284::en2_A1:S;A5:S;A23:R,CHEMBL1095284,2
CHEMBL1095284::en3_A1:R;A5:S;A23:R,CHEMBL1095284,3
CHEMBL1095284::en4_A1:S;A5:R;A23:S,CHEMBL1095284,4
CHEMBL1095777::en0_A14:R,CHEMBL1095777,0
CHEMBL1095777::en1_A14:S,CHEMBL1095777,1
CHEMBL1095930::en0_A7:R;A15:R;A29:R,CHEMBL1095930,0
CHEMBL1095930::en1_A7:S;A15:R;A29:R,CHEMBL1095930,1
CHEMBL1095930::en2_A7:R;A15:S;A29:R,CHEMBL1095930,2
CHEMBL1095930::en3_A7:S;A15:S;A29:R,CHEMBL1095930,3
CHEMBL1095930::en4_A7:R;A15:R;A29:S,CHEMBL1095930,4
CHEMBL1096146::en0_A14:R,CHEMBL1096146,0
CHEMBL1096146::en1_A14:S,CHEMBL1096146,1
CHEMBL1096146::en2_A14:R,CHEMBL1096146,2
CHEMBL1096146::en3_A14:S,CHEMBL1096146,3
CHEMBL1096146::en4_A14:R,CHEMBL1096146,4
CHEMBL1096237::en0_A5:R;A8:R;A10:R;A12:S;A16:S;A24:S;A28:S;A30:R;A47:S;A49:R;A59:R,CHEMBL1096237,0
CHEMBL1096237::en1_A5:S;A8:S;A10:R;A12:R;A16:S;A24:R;A28:S;A30:R;A47:S;A49:S;A59:R,CHEMBL1096237,1
CHEMBL1096237::en2_A5:R;A8:R;A10:S;A12:R;A16:S;A24:S;A28:S;A30:S;A47:R;A49:R;A59:R,CHEMBL1096237,2
CHEMBL1096237::en3_A5:S;A8:S;A10:S;A12:S;A16:S;A24:R;A28:R;A30:R;A47:R;A49:S;A59:R,CHEMBL1096237,3
CHEMBL1096237::en4_A5:S;A8:S;A10:S;A12:S;A16:S;A24:R;A28:S;A30:S;A47:R;A49:R;A59:S,CHEMBL1096237,4
CHEMBL1096882::en0_A11:R;A13:R;A20:R;A22:S,CHEMBL1096882,0
CHEMBL1096882::en1_A11:S;A13:R;A20:R;A22:S,CHEMBL1096882,1
CHEMBL1096882::en2_A11:R;A13:S;A20:R;A22:S,CHEMBL1096882,2
CHEMBL1096882::en3_A11:S;A13:S;A20:R;A22:S,CHEMBL1096882,3
CHEMBL1096882::en4_A11:R;A13:R;A20:S;A22:S,CHEMBL1096882,4
CHEMBL1096885::en0_A10:S;A21:R;A23:S;A25:S;A33:S;A35:S,CHEMBL1096885,0
CHEMBL1096885::en1_A10:R;A21:R;A23:S;A25:S;A33:S;A35:S,CHEMBL1096885,1
CHEMBL1096885::en2_A10:S;A21:S;A23:S;A25:S;A33:S;A35:S,CHEMBL1096885,2
CHEMBL1096885::en3_A10:R;A21:S;A23:S;A25:S;A33:S;A35:S,CHEMBL1096885,3
CHEMBL1096885::en4_A10:S;A21:R;A23:R;A25:S;A33:S;A35:S,CHEMBL1096885,4
CHEMBL1096896::en0_A5:R;A7:S;A53:R;A55:S,CHEMBL1096896,0
CHEMBL1096896::en1_A5:S;A7:S;A53:R;A55:S,CHEMBL1096896,1
CHEMBL1096896::en2_A5:R;A7:R;A53:R;A55:S,CHEMBL1096896,2
CHEMBL1096896::en3_A5:S;A7:R;A53:R;A55:S,CHEMBL1096896,3
CHEMBL1096896::en4_A5:R;A7:S;A53:S;A55:S,CHEMBL1096896,4
CHEMBL1096927::en0_A6:S;A9:S,CHEMBL1096927,0
CHEMBL1096927::en1_A6:R;A9:S,CHEMBL1096927,1
CHEMBL1096927::en2_A6:S;A9:R,CHEMBL1096927,2
CHEMBL1096927::en3_A6:R;A9:R,CHEMBL1096927,3
CHEMBL1097615::en0_A6:R;A8:R;A11:R;A13:S,CHEMBL1097615,0
CHEMBL1097615::en1_A6:S;A8:R;A11:R;A13:S,CHEMBL1097615,1
CHEMBL1097615::en2_A6:R;A8:S;A11:R;A13:S,CHEMBL1097615,2
CHEMBL1097615::en3_A6:S;A8:S;A11:R;A13:S,CHEMBL1097615,3
CHEMBL1097615::en4_A6:R;A8:R;A11:S;A13:S,CHEMBL1097615,4
CHEMBL1097999::en0_A13:S;A15:S;A21:S;A23:S,CHEMBL1097999,0
CHEMBL1097999::en1_A13:R;A15:S;A21:S;A23:S,CHEMBL1097999,1
CHEMBL1097999::en2_A13:S;A15:R;A21:S;A23:S,CHEMBL1097999,2
CHEMBL1097999::en3_A13:R;A15:R;A21:S;A23:S,CHEMBL1097999,3
CHEMBL1097999::en4_A13:S;A15:S;A21:R;A23:S,CHEMBL1097999,4
CHEMBL109831::en0_A6:S;A9:R,CHEMBL109831,0
CHEMBL109831::en1_A6:R;A9:R,CHEMBL109831,1
CHEMBL109831::en2_A6:S;A9:S,CHEMBL109831,2
CHEMBL109831::en3_A6:R;A9:S,CHEMBL109831,3
CHEMBL110458::en0_A2:S;A5:S;A7:S;A9:R,CHEMBL110458,0
CHEMBL110458::en1_A2:R;A5:S;A7:S;A9:R,CHEMBL110458,1
CHEMBL110458::en2_A2:S;A5:R;A7:S;A9:R,CHEMBL110458,2
CHEMBL110458::en3_A2:R;A5:R;A7:S;A9:R,CHEMBL110458,3
CHEMBL110458::en4_A2:S;A5:S;A7:R;A9:R,CHEMBL110458,4
CHEMBL110691::en0_A4:R;A10:R;A11:R;A21:R;A23:R;A26:S,CHEMBL110691,0
CHEMBL110691::en1_A4:S;A10:R;A11:R;A21:R;A23:R;A26:S,CHEMBL110691,1
CHEMBL110691::en2_A4:R;A10:S;A11:R;A21:R;A23:R;A26:S,CHEMBL110691,2
CHEMBL110691::en3_A4:S;A10:S;A11:R;A21:R;A23:R;A26:S,CHEMBL110691,3
CHEMBL110691::en4_A4:R;A10:R;A11:S;A21:R;A23:R;A26:S,CHEMBL110691,4
CHEMBL110739::en0_A1:S;A3:S;A5:R;A6:R;A15:R;A17:S;A20:S,CHEMBL110739,0
CHEMBL110739::en1_A1:R;A3:S;A5:R;A6:R;A15:R;A17:S;A20:S,CHEMBL110739,1
CHEMBL110739::en2_A1:S;A3:R;A5:R;A6:R;A15:R;A17:S;A20:S,CHEMBL110739,2
CHEMBL110739::en3_A1:R;A3:R;A5:R;A6:R;A15:R;A17:S;A20:S,CHEMBL110739,3
CHEMBL110739::en4_A1:S;A3:S;A5:S;A6:R;A15:R;A17:S;A20:S,CHEMBL110739,4
CHEMBL111659::en0_A7:S,CHEMBL111659,0
CHEMBL111659::en1_A7:R,CHEMBL111659,1
CHEMBL1117::en0_A3:S;A14:R;A16:S;A18:S;A20:S;A22:S,CHEMBL1117,0
CHEMBL1117::en1_A3:R;A14:R;A16:S;A18:S;A20:S;A22:S,CHEMBL1117,1
CHEMBL1117::en2_A3:S;A14:S;A16:S;A18:S;A20:S;A22:S,CHEMBL1117,2
CHEMBL1117::en3_A3:R;A14:S;A16:S;A18:S;A20:S;A22:S,CHEMBL1117,3
CHEMBL1117::en4_A3:S;A14:R;A16:R;A18:S;A20:S;A22:S,CHEMBL1117,4
CHEMBL112570::en0_A6:S;A8:S;A11:R;A12:S;A17:R;A21:R;A23:R;A26:R,CHEMBL112570,0
CHEMBL112570::en1_A6:R;A8:S;A11:R;A12:S;A17:R;A21:R;A23:R;A26:R,CHEMBL112570,1
CHEMBL112570::en2_A6:S;A8:R;A11:R;A12:S;A17:R;A21:R;A23:R;A26:R,CHEMBL112570,2
CHEMBL112570::en3_A6:R;A8:R;A11:R;A12:S;A17:R;A21:R;A23:R;A26:R,CHEMBL112570,3
CHEMBL112570::en4_A6:S;A8:S;A11:S;A12:S;A17:R;A21:R;A23:R;A26:R,CHEMBL112570,4
CHEMBL1129::en0_A6:S;A8:S;A10:S,CHEMBL1129,0
CHEMBL1129::en1_A6:R;A8:S;A10:S,CHEMBL1129,1
CHEMBL1129::en2_A6:S;A8:R;A10:S,CHEMBL1129,2
CHEMBL1129::en3_A6:R;A8:R;A10:S,CHEMBL1129,3
CHEMBL1129::en4_A6:S;A8:S;A10:R,CHEMBL1129,4
CHEMBL1130::en0_A1:S;A3:S;A13:R;A15:S,CHEMBL1130,0
CHEMBL1130::en1_A1:R;A3:S;A13:R;A15:S,CHEMBL1130,1
CHEMBL1130::en2_A1:S;A3:R;A13:R;A15:S,CHEMBL1130,2
CHEMBL1130::en3_A1:R;A3:R;A13:R;A15:S,CHEMBL1130,3
CHEMBL1130::en4_A1:S;A3:S;A13:S;A15:S,CHEMBL1130,4
CHEMBL113313::en0_A9:S;A27:S,CHEMBL113313,0
CHEMBL113313::en1_A9:R;A27:S,CHEMBL113313,1
CHEMBL113313::en2_A9:S;A27:R,CHEMBL113313,2
CHEMBL113313::en3_A9:R;A27:R,CHEMBL113313,3
CHEMBL1136::en0_A2:S;A6:S;A10:S;A12:S;A14:R;A16:R;A19:S;A23:R;A25:S;A30:R;A34:R;A36:S;A56:R,CHEMBL1136,0
CHEMBL1136::en1_A2:S;A6:S;A10:R;A12:R;A14:S;A16:S;A19:R;A23:R;A25:R;A30:S;A34:S;A36:R;A56:R,CHEMBL1136,1
CHEMBL1136::en2_A2:R;A6:S;A10:R;A12:R;A14:R;A16:S;A19:S;A23:S;A25:S;A30:S;A34:S;A36:R;A56:S,CHEMBL1136,2
CHEMBL1136::en3_A2:S;A6:R;A10:R;A12:R;A14:R;A16:R;A19:R;A23:R;A25:S;A30:R;A34:R;A36:R;A56:R,CHEMBL1136,3
CHEMBL1136::en4_A2:S;A6:S;A10:R;A12:S;A14:S;A16:R;A19:R;A23:S;A25:R;A30:R;A34:S;A36:R;A56:R,CHEMBL1136,4
CHEMBL1138::en0_A2:R;A5:S;A14:R,CHEMBL1138,0
CHEMBL1138::en1_A2:S;A5:S;A14:R,CHEMBL1138,1
CHEMBL1138::en2_A2:R;A5:R;A14:R,CHEMBL1138,2
CHEMBL1138::en3_A2:S;A5:R;A14:R,CHEMBL1138,3
CHEMBL1138::en4_A2:R;A5:S;A14:S,CHEMBL1138,4
CHEMBL113841::en0_A4:S;A6:R;A8:S;A19:S;A29:S,CHEMBL113841,0
CHEMBL113841::en1_A4:R;A6:R;A8:S;A19:S;A29:S,CHEMBL113841,1
CHEMBL113841::en2_A4:S;A6:S;A8:S;A19:S;A29:S,CHEMBL113841,2
CHEMBL113841::en3_A4:R;A6:S;A8:S;A19:S;A29:S,CHEMBL113841,3
CHEMBL113841::en4_A4:S;A6:R;A8:R;A19:S;A29:S,CHEMBL113841,4
CHEMBL1139::en0_A5:S;A9:R;A10:S;A21:R;A23:S,CHEMBL1139,0
