table,model,metric,variant,paper_value,expected_value,tolerance,notes
1,molspectra,cka,paper,0.904,0.903560,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,unimol,cka,paper,0.889,0.889347,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,e3fp,isotonic_r2,paper,0.521,0.521339,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,gemnet,isotonic_r2,paper,0.667,0.666678,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); recompute it with the published GemNet rotation embeddings"
1,molae,isotonic_r2,paper,0.734,0.734246,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,molspectra,isotonic_r2,paper,0.770,0.770137,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,unimol,isotonic_r2,paper,0.782,0.782243,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,e3fp,lie_k,paper,0.324,0.323791,0.001,"mean over the 1,464,493 molecules of the full run (metrics_sup_100.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied; the full-run values use the embedding indexing described in docs/metrics/geometry.md"
1,gemnet,lie_k,paper,0.390,0.390109,0.001,"mean over the 1,464,493 molecules of the full run (metrics_sup_100.json.gz; cosine; E3FP Tanimoto); recompute it with the published GemNet rotation embeddings; run with --replicate-offset-drift: the LIE@k and AS values of the full run use the embedding indexing described in docs/metrics/geometry.md"
1,molae,lie_k,paper,0.349,0.348912,0.001,"mean over the 1,464,493 molecules of the full run (metrics_sup_100.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied; the full-run values use the embedding indexing described in docs/metrics/geometry.md"
1,molspectra,lie_k,paper,0.238,0.237903,0.001,"mean over the 1,464,493 molecules of the full run (metrics_sup_100.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied; the full-run values use the embedding indexing described in docs/metrics/geometry.md"
1,unimol,lie_k,paper,0.306,0.305915,0.001,"mean over the 1,464,493 molecules of the full run (metrics_sup_100.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied; the full-run values use the embedding indexing described in docs/metrics/geometry.md"
1,e3fp,torsion_sp,paper,0.313,0.313169,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,gemnet,torsion_sp,paper,0.420,0.420297,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); recompute it with the published GemNet rotation embeddings"
1,molae,torsion_sp,paper,0.437,0.436622,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,molspectra,torsion_sp,paper,0.508,0.508405,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,unimol,torsion_sp,paper,0.504,0.504171,0.001,"mean over the 146,389 molecules of the 10% sample run (metrics_all_0.1_1.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied"
1,e3fp,as,paper,2.757,2.757644,0.001,"mean over the 1,464,493 molecules of the full run (metrics_sup_100.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied; the full-run values use the embedding indexing described in docs/metrics/geometry.md"
1,gemnet,as,paper,0.0018,0.001825,0.00001,"mean over the 1,464,493 molecules of the full run (metrics_sup_100.json.gz; cosine; E3FP Tanimoto); recompute it with the published GemNet rotation embeddings; run with --replicate-offset-drift: the LIE@k and AS values of the full run use the embedding indexing described in docs/metrics/geometry.md"
1,molae,as,paper,0.0048,0.004755,0.00001,"mean over the 1,464,493 molecules of the full run (metrics_sup_100.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied; the full-run values use the embedding indexing described in docs/metrics/geometry.md"
1,molspectra,as,paper,0.0214,0.021443,0.00001,"mean over the 1,464,493 molecules of the full run (metrics_sup_100.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied; the full-run values use the embedding indexing described in docs/metrics/geometry.md"
1,unimol,as,paper,0.006,0.005987,0.00001,"mean over the 1,464,493 molecules of the full run (metrics_sup_100.json.gz; cosine; E3FP Tanimoto); this release does not publish rotation embeddings for this model, so the row compares only when results are supplied; the full-run values use the embedding indexing described in docs/metrics/geometry.md"
1,gemnet,lie_k,paper_aligned,,,0.001,"same definitions as the paper rows, with the embeddings indexed by the dataset offset; this file holds no reference value for the row"
1,gemnet,as,paper_aligned,,,0.00001,"same definitions as the paper rows, with the embeddings indexed by the dataset offset; this file holds no reference value for the row"
1,gemnet,spearman,v2,,,0.001,"metric-version v2, mean over all evaluated molecules; this file holds no reference value for the row"
1,gemnet,kendall,v2,,,0.001,"metric-version v2, mean over all evaluated molecules; this file holds no reference value for the row"
1,gemnet,cka,v2,,,0.001,"metric-version v2, mean over all evaluated molecules; this file holds no reference value for the row"
1,gemnet,isotonic_r2,v2,,,0.001,"metric-version v2, mean over all evaluated molecules; this file holds no reference value for the row"
1,gemnet,lie_k,v2,,,0.001,"metric-version v2, mean over all evaluated molecules; this file holds no reference value for the row"
1,gemnet,torsion_sp,v2,,,0.001,"metric-version v2, mean over all evaluated molecules; this file holds no reference value for the row"
1,gemnet,as,v2,,,0.001,"metric-version v2, mean over all evaluated molecules; this file holds no reference value for the row"
