table,model,metric,variant,paper_value,expected_value,tolerance,notes
table2,fmg,NN@1-Acc,euclidean,0.412,0.411765,0.001,"paper value = round(x, 3); |expected-paper|=0.000235; no original metric output in the backup; recomputed from the published embedding"
table2,fmg,Hopkins,euclidean,0.752,0.751741,0.001,"paper value = round(x, 3); |expected-paper|=0.000259; no original metric output in the backup; recomputed from the published embedding"
table2,fmg,SCI,euclidean,0.117,0.117174,0.001,round and truncation agree; |expected-paper|=0.000174; no original metric output in the backup; recomputed from the published embedding
table2,fmg,SCI_unsup,euclidean,0.509,0.509364,0.001,round and truncation agree; |expected-paper|=0.000364; no original metric output in the backup; recomputed from the published embedding; best-k silhouette scans k = 2..n-1 (release 0.1.0 capped k at 10)
table2,mace,ES-AUC,euclidean,0.485,0.485611,0.001,paper value = truncation of x; |expected-paper|=0.000611; no original metric output in the backup; recomputed from the published embedding
table2,mace,NN@1-Acc,euclidean,0.199,0.199113,0.001,round and truncation agree; |expected-paper|=0.000113; no original metric output in the backup; recomputed from the published embedding
table2,mace,Hopkins,euclidean,0.637,0.637379,0.001,round and truncation agree; |expected-paper|=0.000379; no original metric output in the backup; recomputed from the published embedding
table2,mace,SCI,euclidean,-0.094,-0.093877,0.001,"paper value = round(x, 3); |expected-paper|=0.000123; no original metric output in the backup; recomputed from the published embedding"
table2,mace,SCI_unsup,euclidean,0.369,0.369336,0.001,round and truncation agree; |expected-paper|=0.000336; no original metric output in the backup; recomputed from the published embedding; best-k silhouette scans k = 2..n-1 (release 0.1.0 capped k at 10)
table2,e3fp,ES-AUC,cosine,,0.485935,0.001,"not in the paper; paper definitions, --distance cosine; fingerprints always use Tanimoto distance"
table2,e3fp,NN@1-Acc,cosine,,0.177939,0.001,"not in the paper; paper definitions, --distance cosine; fingerprints always use Tanimoto distance"
table2,e3fp,SCI,cosine,,-0.012543,0.001,"not in the paper; paper definitions, --distance cosine; fingerprints always use Tanimoto distance"
table2,e3fp,SCI_unsup,cosine,,0.033825,0.001,"not in the paper; paper definitions, --distance cosine; fingerprints always use Tanimoto distance"
table2,gemnet,ES-AUC,cosine,,0.601837,0.001,"not in the paper; paper definitions, --distance cosine"
table2,gemnet,NN@1-Acc,cosine,,0.312251,0.001,"not in the paper; paper definitions, --distance cosine"
table2,gemnet,Hopkins,cosine,,0.592812,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,gemnet,SCI,cosine,,0.004663,0.001,"not in the paper; paper definitions, --distance cosine"
table2,gemnet,SCI_unsup,cosine,,0.271961,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,molae,ES-AUC,cosine,,0.781942,0.001,"not in the paper; paper definitions, --distance cosine"
table2,molae,NN@1-Acc,cosine,,0.497357,0.001,"not in the paper; paper definitions, --distance cosine"
table2,molae,Hopkins,cosine,,0.602659,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,molae,SCI,cosine,,0.189480,0.001,"not in the paper; paper definitions, --distance cosine"
table2,molae,SCI_unsup,cosine,,0.247099,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,molspectra,ES-AUC,cosine,,0.543114,0.001,"not in the paper; paper definitions, --distance cosine"
table2,molspectra,NN@1-Acc,cosine,,0.235108,0.001,"not in the paper; paper definitions, --distance cosine"
table2,molspectra,Hopkins,cosine,,0.532642,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,molspectra,SCI,cosine,,-0.037315,0.001,"not in the paper; paper definitions, --distance cosine"
table2,molspectra,SCI_unsup,cosine,,0.127115,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,unimol,ES-AUC,cosine,,0.622620,0.001,"not in the paper; paper definitions, --distance cosine"
table2,unimol,NN@1-Acc,cosine,,0.338899,0.001,"not in the paper; paper definitions, --distance cosine"
table2,unimol,Hopkins,cosine,,0.559572,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,unimol,SCI,cosine,,0.021010,0.001,"not in the paper; paper definitions, --distance cosine"
table2,unimol,SCI_unsup,cosine,,0.152108,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,fmg,ES-AUC,cosine,,0.712555,0.001,"not in the paper; paper definitions, --distance cosine"
table2,fmg,NN@1-Acc,cosine,,0.422004,0.001,"not in the paper; paper definitions, --distance cosine"
table2,fmg,Hopkins,cosine,,0.751741,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,fmg,SCI,cosine,,0.158030,0.001,"not in the paper; paper definitions, --distance cosine"
table2,fmg,SCI_unsup,cosine,,0.509364,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,mace,ES-AUC,cosine,,0.484971,0.001,"not in the paper; paper definitions, --distance cosine"
table2,mace,NN@1-Acc,cosine,,0.200708,0.001,"not in the paper; paper definitions, --distance cosine"
table2,mace,Hopkins,cosine,,0.637379,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,mace,SCI,cosine,,-0.151823,0.001,"not in the paper; paper definitions, --distance cosine"
table2,mace,SCI_unsup,cosine,,0.369336,0.001,"not in the paper; paper definitions, --distance cosine; paper definitions compute this on raw vectors (Euclidean), independent of --distance"
table2,e3fp,ES-AUC,v2_euclidean,,0.485935,0.001,"not in the paper; v2 definitions, --distance euclidean; fingerprints always use Tanimoto distance"
table2,e3fp,NN@1-Acc,v2_euclidean,,0.256400,0.001,"not in the paper; v2 definitions, --distance euclidean; fingerprints always use Tanimoto distance"
table2,e3fp,SCI,v2_euclidean,,-0.012543,0.001,"not in the paper; v2 definitions, --distance euclidean; fingerprints always use Tanimoto distance"
table2,e3fp,SCI_unsup,v2_euclidean,,0.033825,0.001,"not in the paper; v2 definitions, --distance euclidean; fingerprints always use Tanimoto distance"
table2,gemnet,ES-AUC,v2_euclidean,,0.577410,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,gemnet,NN@1-Acc,v2_euclidean,,0.415357,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,gemnet,Hopkins,v2_euclidean,,0.592823,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,gemnet,SCI,v2_euclidean,,-0.015151,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,gemnet,SCI_unsup,v2_euclidean,,0.271961,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,molae,ES-AUC,v2_euclidean,,0.782544,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,molae,NN@1-Acc,v2_euclidean,,0.709640,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,molae,Hopkins,v2_euclidean,,0.602748,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,molae,SCI,v2_euclidean,,0.115274,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,molae,SCI_unsup,v2_euclidean,,0.247099,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,molspectra,ES-AUC,v2_euclidean,,0.544744,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,molspectra,NN@1-Acc,v2_euclidean,,0.337786,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,molspectra,Hopkins,v2_euclidean,,0.532736,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,molspectra,SCI,v2_euclidean,,-0.020326,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,molspectra,SCI_unsup,v2_euclidean,,0.127115,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,unimol,ES-AUC,v2_euclidean,,0.622998,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,unimol,NN@1-Acc,v2_euclidean,,0.481977,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,unimol,Hopkins,v2_euclidean,,0.559674,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,unimol,SCI,v2_euclidean,,0.011623,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,unimol,SCI_unsup,v2_euclidean,,0.152108,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,fmg,ES-AUC,v2_euclidean,,0.705652,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,fmg,NN@1-Acc,v2_euclidean,,0.587976,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,fmg,Hopkins,v2_euclidean,,0.752106,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,fmg,SCI,v2_euclidean,,0.117174,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,fmg,SCI_unsup,v2_euclidean,,0.509364,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,mace,ES-AUC,v2_euclidean,,0.485611,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,mace,NN@1-Acc,v2_euclidean,,0.283468,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,mace,Hopkins,v2_euclidean,,0.637289,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,mace,SCI,v2_euclidean,,-0.093877,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,mace,SCI_unsup,v2_euclidean,,0.369336,0.001,"not in the paper; v2 definitions, --distance euclidean"
table2,e3fp,ES-AUC,v2_cosine,,0.485935,0.001,"not in the paper; v2 definitions, --distance cosine; fingerprints always use Tanimoto distance"
table2,e3fp,NN@1-Acc,v2_cosine,,0.256400,0.001,"not in the paper; v2 definitions, --distance cosine; fingerprints always use Tanimoto distance"
table2,e3fp,SCI,v2_cosine,,-0.012543,0.001,"not in the paper; v2 definitions, --distance cosine; fingerprints always use Tanimoto distance"
table2,e3fp,SCI_unsup,v2_cosine,,0.033825,0.001,"not in the paper; v2 definitions, --distance cosine; fingerprints always use Tanimoto distance"
table2,gemnet,ES-AUC,v2_cosine,,0.601837,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,gemnet,NN@1-Acc,v2_cosine,,0.444804,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,gemnet,Hopkins,v2_cosine,,0.577979,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,gemnet,SCI,v2_cosine,,0.004663,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,gemnet,SCI_unsup,v2_cosine,,0.380451,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,molae,ES-AUC,v2_cosine,,0.781942,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,molae,NN@1-Acc,v2_cosine,,0.709405,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,molae,Hopkins,v2_cosine,,0.602690,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,molae,SCI,v2_cosine,,0.189480,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,molae,SCI_unsup,v2_cosine,,0.408498,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,molspectra,ES-AUC,v2_cosine,,0.543114,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,molspectra,NN@1-Acc,v2_cosine,,0.337668,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,molspectra,Hopkins,v2_cosine,,0.533677,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,molspectra,SCI,v2_cosine,,-0.037315,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,molspectra,SCI_unsup,v2_cosine,,0.232817,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,unimol,ES-AUC,v2_cosine,,0.622620,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,unimol,NN@1-Acc,v2_cosine,,0.480923,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,unimol,Hopkins,v2_cosine,,0.559664,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,unimol,SCI,v2_cosine,,0.021010,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,unimol,SCI_unsup,v2_cosine,,0.270063,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,fmg,ES-AUC,v2_cosine,,0.712555,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,fmg,NN@1-Acc,v2_cosine,,0.601655,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,fmg,Hopkins,v2_cosine,,0.751049,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,fmg,SCI,v2_cosine,,0.158030,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,fmg,SCI_unsup,v2_cosine,,0.682689,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,mace,ES-AUC,v2_cosine,,0.484971,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,mace,NN@1-Acc,v2_cosine,,0.285157,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,mace,Hopkins,v2_cosine,,0.637111,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,mace,SCI,v2_cosine,,-0.151823,0.001,"not in the paper; v2 definitions, --distance cosine"
table2,mace,SCI_unsup,v2_cosine,,0.566272,0.001,"not in the paper; v2 definitions, --distance cosine"
